X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2425820211258,40.1200546660963,494,Aluminum,Pipe Arm,Cobra,HPS,100,SL052,1257653.186025,1009631.5598,,,883,No,,Natural,,GE,No,,AERIAL,,
-88.2425846927224,40.1205538316299,495,Cast Aluminum,Other,Cobra,HPS,100,SL052,1257835.301425,1009627.572,1,,884,No,,,,GE,Yes,,AERIAL,,
-88.2425833330636,40.1207991316047,496,Cast Aluminum,Other,Cobra,HPS,100,SL052,1257926.119275,1009626.743,1,,885,No,,,,GE,Yes,,AERIAL,,
-88.2425816826261,40.1209913584981,497,Aluminum,Pipe Arm,Cobra,HPS,100,SL052,1257992.9159,1009627.244,,,886,No,,,,GE,No,,AERIAL,,
-88.2576871612163,40.123152129244,498,Aluminum,Davit,Cobra,HPS,100,SL019,1258777.591775,1005406.224625,4,,889,No,,Natural,,GE,No,,AERIAL,,
-88.2502202557413,40.1203955096418,499,Aluminum,Davit,Cobra,HPS,150,SL020,1257775.26154999,1007492.206,4,,891,No,,Natural,,GE,No,,AERIAL,,
-88.2502716931853,40.1212380321673,500,Steel,Truss Arm,Cobra,HPS,150,SL020,1258082.1662,1007480.627,3,,892,No,,Green,,GE,No,,AERIAL,,
-88.2530113313799,40.1212314572776,501,Steel,Truss Arm,Cobra,HPS,150,SL020,1258079.067125,1006714.462,3,,893,No,,Green,,GE,No,,AERIAL,,
-88.2532274075907,40.1224375227906,502,Aluminum,Davit,Cobra,HPS,150,SL020,1258518.363775,1006651.091,4,,894,No,,Natural,,GE,No,,AERIAL,,
-88.2532022225219,40.1216105997935,503,Aluminum,Davit,Cobra,HPS,150,SL020,1258217.1347,1006660.953,4,,895,No,,Natural,,GE,No,,AERIAL,,
-88.2531943236479,40.1210990014502,504,Aluminum,Davit,Cobra,HPS,150,SL020,1258030.76944999,1006663.33,4,,896,No,,Natural,,GE,No,,AERIAL,,
-88.2531889325555,40.1207177241328,505,Aluminum,Davit,Cobra,HPS,150,SL020,1257891.877425,1006664.735,4,,897,No,,Natural,,GE,No,,AERIAL,,
-88.2531820523205,40.1203108878611,506,Aluminum,Davit,Cobra,HPS,150,SL020,1257743.674925,1006663.977,4,,898,No,,Natural,,GE,No,,AERIAL,,
-88.2519255108693,40.1212305100172,507,Steel,Truss Arm,Cobra,HPS,150,SL020,1258078.998325,1007018.365,3,,899,No,,Green,,GE,No,,AERIAL,,
-88.2502199424255,40.1208040971323,508,Aluminum,Davit,Cobra,HPS,150,SL020,1257924.10399999,1007495.247,4,,900,No,,Natural,,GE,No,,AERIAL,,
-88.248571153576,40.1212207113582,509,Steel,Truss Arm,Cobra,HPS,150,SL020,1258076.305275,1007954.265,3,,901,No,,Green,,GE,No,,AERIAL,,
-88.2484370958582,40.1217446877661,510,Aluminum,Davit,Cobra,HPS,150,SL020,1258267.21765,1007993.514,4,,902,No,,Natural,,GE,No,,AERIAL,,
-88.2582167578274,40.1466491858164,511,Aluminum,Truss Arm,Cobra,HPS,250,SL006,1267337.103375,1005250.819,,2005/01/01 06:00:00+00,904,No,,Black,,GE,No,,AERIAL,,
-88.2581098494375,40.1472655535615,512,Aluminum,Truss Arm,Cobra,HPS,250,SL006,1267561.663225,1005281.584,,2005/01/01 06:00:00+00,905,No,,Black,,GE,No,,AERIAL,,
-88.2325001925039,40.1067685442858,513,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1252816.29945,1012456.580275,3,,906,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2317497405059,40.1090014011003,514,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1253635.05355,1012666.69535,3,,907,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2320534555659,40.1066084645757,515,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1252758.1271,1012581.607425,3,,908,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2318933257793,40.1057490986317,516,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1252445.12509999,1012626.7561,3,,909,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2324834141882,40.1090074739072,517,Concrete,Pipe Arm,Cobra,HPS,150,SL085,1253632.882925,1012461.35565,3,,910,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2386520719519,40.1149197047733,518,Cast Aluminum,Combo,Cobra/Globe,Other,250/85,SL060,1255783.745725,1010732.62005,6,,912,No,,Black,,GE/QL,Yes,,AERIAL,,11/1/18
-88.2389563806808,40.116412912693,519,Cast Aluminum,Other,Globe,IND,85,SL087,1256327.60755,1010646.932,1,,913,Yes,,Black,Sternberg,GE,Yes,,AERIAL,,10/12/18
-88.2388250013899,40.1169436280492,520,Cast Aluminum,Other,Globe,HPS,100,SL087,1256520.977725,1010683.471,1,,914,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2388387687084,40.1171774764274,521,Cast Aluminum,Other,Globe,HPS,100,SL087,1256606.1611,1010679.529725,1,,915,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2388424462011,40.1176038654812,522,Cast Aluminum,Other,Globe,HPS,100,SL087,1256761.486825,1010678.336,1,,916,Yes,,Black,,GE,Yes,,AERIAL,,
